	_feature_id	_core_var	_ratio_core_cat	_mean_ratio_cat	_RNA_prev	_DNA_prev	_cat	pathway	function_biobakery	Superclass1	Superclass2	function
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	variable		r:d<1	RNA=0, DNA>0	0.3-0.8 no DNA	c	GLUCARGALACTSUPER-PWY	 superpathway of D-glucarate and D-galactarate degradation	Superpathways	Superpathways	superpathway of D-glucarate and D-galactarate degradation
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	MET-SAM-PWY	 superpathway of S-adenosyl-L-methionine biosynthesis	Superpathways	Superpathways	superpathway of S-adenosyl-L-methionine biosynthesis
PWY-6969: TCA cycle V (2-oxoglutarate synthase)	PWY-6969: TCA cycle V (2-oxoglutarate synthase)	variable		r:d>1	RNA=0, DNA>0	DNA exists	c	PWY-6969	 TCA cycle V (2-oxoglutarate synthase)	Generation of Precursor Metabolites and Energy	TCA cycle	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	variable		r:d<1	RNA=0, DNA>0	DNA exists	c	PWY-5188	 tetrapyrrole biosynthesis I (from glutamate)	Biosynthesis	Tetrapyrrole Biosynthesis	tetrapyrrole biosynthesis I (from glutamate)
PWY-5173	PWY-5173	variable		r:d>1	else	0.3-0.8 no DNA	d	PWY-5173		Energy-Metabolism	Acetyl-CoA-Biosynthesis	superpathway of acetyl-CoA biosynthesis
PWY-7013: (S)-propane-1,2-diol degradation	PWY-7013: (S)-propane-1,2-diol degradation	variable		r:d>1	else	0.3-0.8 no DNA	d	PWY-7013	 (S)-propane-1,2-diol degradation	Degradation/Utilization/Assimilation	Alcohol Degradation	L-1,2-propanediol degradation
PWY66-389: phytol degradation	PWY66-389: phytol degradation	variable		r:d>1	else	0.3-0.8 no DNA	d	PWY66-389	 phytol degradation	Degradation/Utilization/Assimilation	Alcohol Degradation	phytol degradation
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	variable		r:d<1	else	0.3-0.8 no DNA	d	P4-PWY	 superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	Biosynthesis	Amino Acid Biosynthesis	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	variable		r:d>1	else	0.3-0.8 no DNA	d	P185-PWY	 formaldehyde assimilation III (dihydroxyacetone cycle)	Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	formaldehyde assimilation III (dihydroxyacetone cycle)
P23-PWY: reductive TCA cycle I	P23-PWY: reductive TCA cycle I	variable		r:d<1	else	0.3-0.8 no DNA	d	P23-PWY	 reductive TCA cycle I	Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	reductive TCA cycle I
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-1861	 formaldehyde assimilation II (assimilatory RuMP Cycle)	Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	formaldehyde assimilation II (RuMP Cycle)
PWY-6143: CMP-pseudaminate biosynthesis	PWY-6143: CMP-pseudaminate biosynthesis	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-6143	 CMP-pseudaminate biosynthesis	Biosynthesis	Carbohydrate Biosynthesis	CMP-pseudaminate biosynthesis
PWY-6145: superpathway of CMP-sialic acids biosynthesis	PWY-6145: superpathway of CMP-sialic acids biosynthesis	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-6145	 superpathway of CMP-sialic acids biosynthesis	Biosynthesis	Carbohydrate Biosynthesis	superpathway of sialic acids and CMP-sialic acids biosynthesis
PWY-622: starch biosynthesis	PWY-622: starch biosynthesis	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-622	 starch biosynthesis	Biosynthesis	Carbohydrate Biosynthesis	starch biosynthesis
PWY-6478: GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis	PWY-6478: GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-6478	 GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis	Biosynthesis	Carbohydrate Biosynthesis	GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis
PWY-6749: CMP-legionaminate biosynthesis I	PWY-6749: CMP-legionaminate biosynthesis I	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-6749	 CMP-legionaminate biosynthesis I	Biosynthesis	Carbohydrate Biosynthesis	CMP-legionaminate biosynthesis I
PWY-7312: dTDP-&beta;-D-fucofuranose biosynthesis	PWY-7312: dTDP-&beta;-D-fucofuranose biosynthesis	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-7312	 dTDP-&beta;-D-fucofuranose biosynthesis	Biosynthesis	Carbohydrate Biosynthesis	dTDP-D-&beta;-fucofuranose biosynthesis
PWY-7316: dTDP-N-acetylviosamine biosynthesis	PWY-7316: dTDP-N-acetylviosamine biosynthesis	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-7316	 dTDP-N-acetylviosamine biosynthesis	Biosynthesis	Carbohydrate Biosynthesis	dTDP-N-acetylviosamine biosynthesis
P124-PWY: Bifidobacterium shunt	P124-PWY: Bifidobacterium shunt	variable		r:d<1	else	0.3-0.8 no DNA	d	P124-PWY	 Bifidobacterium shunt	Degradation/Utilization/Assimilation	Carbohydrate Degradation	Bifidobacterium shunt
GLUCARDEG-PWY: D-glucarate degradation I	GLUCARDEG-PWY: D-glucarate degradation I	variable		r:d<1	else	0.3-0.8 no DNA	d	GLUCARDEG-PWY	 D-glucarate degradation I	Degradation/Utilization/Assimilation	Carboxylate Degradation	D-glucarate degradation I
KETOGLUCONMET-PWY: ketogluconate metabolism	KETOGLUCONMET-PWY: ketogluconate metabolism	variable		r:d<1	else	0.3-0.8 no DNA	d	KETOGLUCONMET-PWY	 ketogluconate metabolism	Degradation/Utilization/Assimilation	Carboxylate Degradation	ketogluconate metabolism
P161-PWY: acetylene degradation (anaerobic)	P161-PWY: acetylene degradation (anaerobic)	variable		r:d<1	else	0.3-0.8 no DNA	d	P161-PWY	 acetylene degradation (anaerobic)	Degradation/Utilization/Assimilation	Carboxylate Degradation	acetylene degradation
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	variable		r:d<1	else	0.3-0.8 no DNA	d	FOLSYN-PWY	 superpathway of tetrahydrofolate biosynthesis and salvage	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of tetrahydrofolate biosynthesis and salvage
PWY-5840: superpathway of menaquinol-7 biosynthesis	PWY-5840: superpathway of menaquinol-7 biosynthesis	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-5840	 superpathway of menaquinol-7 biosynthesis	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of menaquinol-7 biosynthesis
PWY-5845: superpathway of menaquinol-9 biosynthesis	PWY-5845: superpathway of menaquinol-9 biosynthesis	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-5845	 superpathway of menaquinol-9 biosynthesis	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of menaquinol-9 biosynthesis
PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis	PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-5862	 superpathway of demethylmenaquinol-9 biosynthesis	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of demethylmenaquinol-9 biosynthesis
PWY-5918: superpathway of heme b biosynthesis from glutamate	PWY-5918: superpathway of heme b biosynthesis from glutamate	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-5918	 superpathway of heme b biosynthesis from glutamate	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathay of heme biosynthesis from glutamate
PWY-6263: superpathway of menaquinol-8 biosynthesis II	PWY-6263: superpathway of menaquinol-8 biosynthesis II	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-6263	 superpathway of menaquinol-8 biosynthesis II	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of menaquinol-8 biosynthesis II
PWY-6612: superpathway of tetrahydrofolate biosynthesis	PWY-6612: superpathway of tetrahydrofolate biosynthesis	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-6612	 superpathway of tetrahydrofolate biosynthesis	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of tetrahydrofolate biosynthesis
PWY-6892: thiazole component of thiamine diphosphate biosynthesis I	PWY-6892: thiazole component of thiamine diphosphate biosynthesis I	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-6892	 thiazole component of thiamine diphosphate biosynthesis I	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	thiazole biosynthesis I (E. coli)
PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II	PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-7371	 1,4-dihydroxy-6-naphthoate biosynthesis II	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	1,4-dihydroxy-6-naphthoate biosynthesis II
PWY0-1415: superpathway of heme b biosynthesis from uroporphyrinogen-III	PWY0-1415: superpathway of heme b biosynthesis from uroporphyrinogen-III	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY0-1415	 superpathway of heme b biosynthesis from uroporphyrinogen-III	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of heme biosynthesis from uroporphyrinogen-III
PYRIDNUCSAL-PWY: NAD salvage pathway I (PNC VI cycle)	PYRIDNUCSAL-PWY: NAD salvage pathway I (PNC VI cycle)	variable		r:d<1	else	0.3-0.8 no DNA	d	PYRIDNUCSAL-PWY	 NAD salvage pathway I (PNC VI cycle)	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	NAD salvage pathway I
THISYN-PWY: superpathway of thiamine diphosphate biosynthesis I	THISYN-PWY: superpathway of thiamine diphosphate biosynthesis I	variable		r:d<1	else	0.3-0.8 no DNA	d	THISYN-PWY	 superpathway of thiamine diphosphate biosynthesis I	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of thiamin diphosphate biosynthesis I
PWY-5367: petroselinate biosynthesis	PWY-5367: petroselinate biosynthesis	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-5367	 petroselinate biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	petroselinate biosynthesis
PWY-5971: palmitate biosynthesis (type II fatty acid synthase)	PWY-5971: palmitate biosynthesis (type II fatty acid synthase)	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-5971	 palmitate biosynthesis (type II fatty acid synthase)	Biosynthesis	Fatty Acid and Lipid Biosynthesis	palmitate biosynthesis II (bacteria and plants)
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-6284	 superpathway of unsaturated fatty acids biosynthesis (E. coli)	Biosynthesis	Fatty Acid and Lipid Biosynthesis	superpathway of unsaturated fatty acids biosynthesis (E. coli)
PWY-6803: phosphatidylcholine acyl editing	PWY-6803: phosphatidylcholine acyl editing	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-6803	 phosphatidylcholine acyl editing	Biosynthesis	Fatty Acid and Lipid Biosynthesis	phosphatidylcholine acyl editing
FERMENTATION-PWY: mixed acid fermentation	FERMENTATION-PWY: mixed acid fermentation	variable		r:d<1	else	0.3-0.8 no DNA	d	FERMENTATION-PWY	 mixed acid fermentation	Generation of Precursor Metabolites and Energy	Fermentation	mixed acid fermentation
PWY-5677: succinate fermentation to butanoate	PWY-5677: succinate fermentation to butanoate	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-5677	 succinate fermentation to butanoate	Generation of Precursor Metabolites and Energy	Fermentation	succinate fermentation to butanoate
PWY-6588: pyruvate fermentation to acetone	PWY-6588: pyruvate fermentation to acetone	variable		r:d>1	else	0.3-0.8 no DNA	d	PWY-6588	 pyruvate fermentation to acetone	Generation of Precursor Metabolites and Energy	Fermentation	pyruvate fermentation to acetone
PWY-7384: anaerobic energy metabolism (invertebrates, mitochondrial)	PWY-7384: anaerobic energy metabolism (invertebrates, mitochondrial)	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-7384	 anaerobic energy metabolism (invertebrates, mitochondrial)	Generation of Precursor Metabolites and Energy	Fermentation	anaerobic energy metabolism (invertebrates, mitochondrial)
PWY-7389: superpathway of anaerobic energy metabolism (invertebrates)	PWY-7389: superpathway of anaerobic energy metabolism (invertebrates)	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-7389	 superpathway of anaerobic energy metabolism (invertebrates)	Generation of Precursor Metabolites and Energy	Fermentation	superpathway of anaerobic energy metabolism (invertebrates)
PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)	PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY4LZ-257	 superpathway of fermentation (Chlamydomonas reinhardtii)	Generation of Precursor Metabolites and Energy	Fermentation	superpathway of fermentation (Chlamydomonas reinhardtii)
PWY-5723: Rubisco shunt	PWY-5723: Rubisco shunt	variable		r:d>1	else	0.3-0.8 no DNA	d	PWY-5723	 Rubisco shunt	Generation of Precursor Metabolites and Energy	Generation of Precursor Metabolites and Energy	Rubisco shunt
SO4ASSIM-PWY: assimilatory sulfate reduction I	SO4ASSIM-PWY: assimilatory sulfate reduction I	variable		r:d<1	else	0.3-0.8 no DNA	d	SO4ASSIM-PWY	 assimilatory sulfate reduction I	Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	sulfate reduction I (assimilatory)
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis	SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis	variable		r:d<1	else	0.3-0.8 no DNA	d	SULFATE-CYS-PWY	 superpathway of sulfate assimilation and cysteine biosynthesis	Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	superpathway of sulfate assimilation and cysteine biosynthesis
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	variable		r:d<1	else	0.3-0.8 no DNA	d	DENOVOPURINE2-PWY	 superpathway of purine nucleotides de novo biosynthesis II	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of purine nucleotides de novo biosynthesis II
PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II	PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-7187	 pyrimidine deoxyribonucleotides de novo biosynthesis II	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	pyrimidine deoxyribonucleotides de novo biosynthesis II
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY0-166	 superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)
PWY-5497: purine nucleobases degradation II (anaerobic)	PWY-5497: purine nucleobases degradation II (anaerobic)	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-5497	 purine nucleobases degradation II (anaerobic)	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	purine nucleobases degradation II (anaerobic)
PWY-6595: superpathway of guanosine nucleotides degradation (plants)	PWY-6595: superpathway of guanosine nucleotides degradation (plants)	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-6595	 superpathway of guanosine nucleotides degradation (plants)	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	superpathway of guanosine nucleotides degradation (plants)
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-241	 C4 photosynthetic carbon assimilation cycle, NADP-ME type	Generation of Precursor Metabolites and Energy	Photosynthesis	C4 photosynthetic carbon assimilation cycle, NADP-ME type
PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type	PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-7117	 C4 photosynthetic carbon assimilation cycle, PEPCK type	Generation of Precursor Metabolites and Energy	Photosynthesis	C4 photosynthetic carbon assimilation cycle, PEPCK type
METH-ACETATE-PWY: methanogenesis from acetate	METH-ACETATE-PWY: methanogenesis from acetate	variable		r:d>1	else	0.3-0.8 no DNA	d	METH-ACETATE-PWY	 methanogenesis from acetate	Generation of Precursor Metabolites and Energy	Respiration	methanogenesis from acetate
PWY-7237: myo-, chiro- and scyllo-inositol degradation	PWY-7237: myo-, chiro- and scyllo-inositol degradation	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-7237	 myo-, chiro- and scyllo-inositol degradation	Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	myo-, chiro- and scillo-inositol degradation
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	variable		r:d<1	else	0.3-0.8 no DNA	d	PRPP-PWY	 superpathway of histidine, purine, and pyrimidine biosynthesis	Superpathways	Superpathways	superpathway of histidine, purine, and pyrimidine biosynthesis
PWY0-781: aspartate superpathway	PWY0-781: aspartate superpathway	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY0-781	 aspartate superpathway	Superpathways	Superpathways	aspartate superpathway
PWY-5913: partial TCA cycle (obligate autotrophs)	PWY-5913: partial TCA cycle (obligate autotrophs)	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-5913	 partial TCA cycle (obligate autotrophs)	Generation of Precursor Metabolites and Energy	TCA cycle	TCA cycle VI (obligate autotrophs)
PWY-7254: TCA cycle VII (acetate-producers)	PWY-7254: TCA cycle VII (acetate-producers)	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-7254	 TCA cycle VII (acetate-producers)	Generation of Precursor Metabolites and Energy	TCA cycle	TCA cycle VII (acetate-producers)
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	PWY-5189: tetrapyrrole biosynthesis II (from glycine)	variable		r:d<1	else	0.3-0.8 no DNA	d	PWY-5189	 tetrapyrrole biosynthesis II (from glycine)	Biosynthesis	Tetrapyrrole Biosynthesis	tetrapyrrole biosynthesis II (from glycine)
PWY-6305: superpathway of putrescine biosynthesis	PWY-6305: superpathway of putrescine biosynthesis	variable		r:d<1	else	DNA exists	e	PWY-6305	 superpathway of putrescine biosynthesis	Biosynthesis	Amine and Polyamine Biosynthesis	putrescine biosynthesis IV
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	variable		r:d<1	else	DNA exists	e	PWY-5154	 L-arginine biosynthesis III (via N-acetyl-L-citrulline)	Biosynthesis	Amino Acid Biosynthesis	L-arginine biosynthesis III (via N-acetyl-L-citrulline)
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	variable		r:d<1	else	DNA exists	e	PWY-724	 superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	Biosynthesis	Amino Acid Biosynthesis	superpathway of L-lysine, L-threonine and L-methionine biosynthesis II
PWY-7400: L-arginine biosynthesis IV (archaebacteria)	PWY-7400: L-arginine biosynthesis IV (archaebacteria)	variable		r:d<1	else	DNA exists	e	PWY-7400	 L-arginine biosynthesis IV (archaebacteria)	Biosynthesis	Amino Acid Biosynthesis	L-arginine biosynthesis IV (archaebacteria)
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	variable		r:d<1	else	DNA exists	e	ARGSYN-PWY	 L-arginine biosynthesis I (via L-ornithine)	Biosynthesis	Amino Acid Biosynthesis	L-arginine biosynthesis I (via L-ornithine)
GLUTORN-PWY: L-ornithine biosynthesis I	GLUTORN-PWY: L-ornithine biosynthesis I	variable		r:d<1	else	DNA exists	e	GLUTORN-PWY	 L-ornithine biosynthesis I	Biosynthesis	Amino Acid Biosynthesis	L-ornithine biosynthesis
PWY-2941: L-lysine biosynthesis II	PWY-2941: L-lysine biosynthesis II	variable		r:d<1	else	DNA exists	e	PWY-2941	 L-lysine biosynthesis II	Biosynthesis	Amino Acid Biosynthesis	L-lysine biosynthesis II
HSERMETANA-PWY: L-methionine biosynthesis III	HSERMETANA-PWY: L-methionine biosynthesis III	variable		r:d<1	else	DNA exists	e	HSERMETANA-PWY	 L-methionine biosynthesis III	Biosynthesis	Amino Acid Biosynthesis	L-methionine biosynthesis III
PWY-4981: L-proline biosynthesis II (from arginine)	PWY-4981: L-proline biosynthesis II (from arginine)	variable		r:d>1	else	DNA exists	e	PWY-4981	 L-proline biosynthesis II (from arginine)	Biosynthesis	Amino Acid Biosynthesis	L-proline biosynthesis II (from arginine)
ARO-PWY: chorismate biosynthesis I	ARO-PWY: chorismate biosynthesis I	variable		r:d<1	else	DNA exists	e	ARO-PWY	 chorismate biosynthesis I	Biosynthesis	Aromatic Compound Biosynthesis	chorismate biosynthesis I
PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	variable		r:d>1	else	DNA exists	e	PWY-7323	 superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	Biosynthesis	Carbohydrate Biosynthesis	superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis
PWY66-399: gluconeogenesis III	PWY66-399: gluconeogenesis III	variable		r:d>1	else	DNA exists	e	PWY66-399	 gluconeogenesis III	Biosynthesis	Carbohydrate Biosynthesis	gluconeogenesis III
PWY-6317: D-galactose degradation I (Leloir pathway)	PWY-6317: D-galactose degradation I (Leloir pathway)	variable		r:d<1	else	DNA exists	e	PWY-6317	 D-galactose degradation I (Leloir pathway)	Degradation/Utilization/Assimilation	Carbohydrate Degradation	galactose degradation I (Leloir pathway)
PWY-7456: &beta;-(1,4)-mannan degradation	PWY-7456: &beta;-(1,4)-mannan degradation	variable		r:d<1	else	DNA exists	e	PWY-7456	 &beta;-(1,4)-mannan degradation	Degradation/Utilization/Assimilation	Carbohydrate Degradation	mannan degradation
PWY-5100: pyruvate fermentation to acetate and lactate II	PWY-5100: pyruvate fermentation to acetate and lactate II	variable		r:d>1	else	DNA exists	e	PWY-5100	 pyruvate fermentation to acetate and lactate II	Degradation/Utilization/Assimilation	Carboxylate Degradation	pyruvate fermentation to acetate and lactate II
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation	GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation	variable		r:d>1	else	DNA exists	e	GLUCUROCAT-PWY	 superpathway of &beta;-D-glucuronosides degradation	Degradation/Utilization/Assimilation	Carboxylate Degradation	superpathway of &beta;-D-glucuronide and D-glucuronate degradation
GALACTUROCAT-PWY: D-galacturonate degradation I	GALACTUROCAT-PWY: D-galacturonate degradation I	variable		r:d>1	else	DNA exists	e	GALACTUROCAT-PWY	 D-galacturonate degradation I	Degradation/Utilization/Assimilation	Carboxylate Degradation	D-galacturonate degradation I
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	variable		r:d>1	else	DNA exists	e	NAGLIPASYN-PWY	 lipid IVA biosynthesis (E. coli)	Biosynthesis	Cell Structure Biosynthesis	lipid IVA biosynthesis
THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes)	THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes)	variable		r:d<1	else	DNA exists	e	THISYNARA-PWY	 superpathway of thiamine diphosphate biosynthesis III (eukaryotes)	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of thiamin diphosphate biosynthesis III (eukaryotes)
PWY-6897: thiamine diphosphate salvage II	PWY-6897: thiamine diphosphate salvage II	variable		r:d<1	else	DNA exists	e	PWY-6897	 thiamine diphosphate salvage II	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	thiamin salvage II
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)	PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)	variable		r:d<1	else	DNA exists	e	PWY-7357	 thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	thiamin formation from pyrithiamine and oxythiamine (yeast)
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	variable		r:d<1	else	DNA exists	e	COBALSYN-PWY	 superpathway of adenosylcobalamin salvage from cobinamide I	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	adenosylcobalamin salvage from cobinamide I
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	variable		r:d<1	else	DNA exists	e	PWY-7282	 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	variable		r:d<1	else	DNA exists	e	PWY0-845	 superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I	PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I	variable		r:d>1	else	DNA exists	e	PYRIDOXSYN-PWY	 pyridoxal 5'-phosphate biosynthesis I	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	pyridoxal 5'-phosphate biosynthesis I
PWY3O-355: stearate biosynthesis III (fungi)	PWY3O-355: stearate biosynthesis III (fungi)	variable		r:d<1	else	DNA exists	e	PWY3O-355	 stearate biosynthesis III (fungi)	Biosynthesis	Fatty Acid and Lipid Biosynthesis	stearate biosynthesis III (fungi)
P108-PWY: pyruvate fermentation to propanoate I	P108-PWY: pyruvate fermentation to propanoate I	variable		r:d>1	else	DNA exists	e	P108-PWY	 pyruvate fermentation to propanoate I	Generation of Precursor Metabolites and Energy	Fermentation	pyruvate fermentation to propanoate I
