cluster_rank	cluster_X	cluster_Y	best_adjusted_pvalue
358	S-Adenosyl-L-methionine	00194 Photosynthesis proteins [BR:ko00194];00364 Fluorobenzoate degradation [PATH:ko00364]	0.039318314472976144
359	Cytidine	00590 Arachidonic acid metabolism [PATH:ko00590]	0.03939261381827003
360	DHAP;Glyceraldehyde 3-phosphate;Sedoheptulose-7-phosphate;Fructose-6-phosphate;Galactose 1-Phosphate;Glucose 6-Phosphate	01005 Lipopolysaccharide biosynthesis proteins [BR:ko01005]	0.03946969894765289
361	Ophthalmate	00785 Lipoic acid metabolism [PATH:ko00785]	0.03953112729757708
362	2-Methylcitrate	00600 Sphingolipid metabolism [PATH:ko00600];00908 Zeatin biosynthesis [PATH:ko00908]	0.03967724507526253
363	trans,trans-Muconic acid	00600 Sphingolipid metabolism [PATH:ko00600]	0.03985737280962226
364	Biotin	99999 Others	0.03996657975966019
365	3-Methyl-L-Histidine	00531 Glycosaminoglycan degradation [PATH:ko00531]	0.03999780110107397
366	Itaconate	00471 D-Glutamine and D-glutamate metabolism [PATH:ko00471]	0.04025026030601667
367	Melatonin	03070 Bacterial secretion system [PATH:ko03070]	0.040410505172572116
368	13Z,16Z-docosadienoic acid	03021 Transcription machinery [BR:ko03021]	0.04042103685664229
369	Glutarate	00194 Photosynthesis proteins [BR:ko00194];00364 Fluorobenzoate degradation [PATH:ko00364]	0.04058865246580762
370	2-Methylcitrate	00540 Lipopolysaccharide biosynthesis [PATH:ko00540]	0.04086734225570254
371	NAD+	00190 Oxidative phosphorylation [PATH:ko00190];03018 RNA degradation [PATH:ko03018]	0.040963204796086644
372	Tyramine	00625 Chloroalkane and chloroalkene degradation [PATH:ko00625]	0.040963204796086644
373	10-HAD;2,6-Dihydroxypyridine;cis-5-Dodecenoic acid;9-Decenoic acid;Undecanoic acid	00600 Sphingolipid metabolism [PATH:ko00600];00908 Zeatin biosynthesis [PATH:ko00908]	0.040963204796086644
374	2-Methylcitrate	02060 Phosphotransferase system (PTS) [PATH:ko02060]	0.040963204796086644
375	Tetrahydrofolate	03016 Transfer RNA biogenesis [BR:ko03016]	0.040963204796086644
376	3-Dehydroshikimate	01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.041167431473561035
377	3 Hydroxybenzyl Alcohol	03019 Messenger RNA biogenesis [BR:ko03019]	0.041171831655738116
378	Mandelate	01040 Biosynthesis of unsaturated fatty acids [PATH:ko01040]	0.041171831655738116
379	2 Deoxy D Glucose	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.041171831655738116
380	O-Acetylserine	00510 N-Glycan biosynthesis [PATH:ko00510];04080 Neuroactive ligand-receptor interaction [PATH:ko04080]	0.04158175428436937
381	CMP;AMP;UMP	00071 Fatty acid degradation [PATH:ko00071]	0.04170742259512575
382	Lithocholate	05132 Salmonella infection [PATH:ko05132];05133 Pertussis [PATH:ko05133]	0.04170742259512575
383	cis-7,10,13,16-Docosatetraenoic acid	05100 Bacterial invasion of epithelial cells [PATH:ko05100]	0.04205423415093888
384	5(Z),8(Z),11(Z)-Eicosatrienoic Acid	00053 Ascorbate and aldarate metabolism [PATH:ko00053]	0.04205423415093888
385	Ophthalmate	01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]	0.04205423415093888
386	acetyl-carnitine	01004 Lipid biosynthesis proteins [BR:ko01004]	0.04205423415093888
387	Tridecanoic acid	99978 Cell growth	0.04205423415093888
388	2-Methylcitrate	00190 Oxidative phosphorylation [PATH:ko00190];03018 RNA degradation [PATH:ko03018]	0.04205423415093888
389	3-(2-Hydroxyphenyl)Propanoate	99981 Carbohydrate metabolism	0.04205423415093888
390	Hypoxanthine	03016 Transfer RNA biogenesis [BR:ko03016];00190 Oxidative phosphorylation [PATH:ko00190];03018 RNA degradation [PATH:ko03018]	0.042054303887887105
391	Galactarate	01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.042207986646088116
392	D-Pinitol	00590 Arachidonic acid metabolism [PATH:ko00590]	0.042207986646088116
393	DHAP;Glyceraldehyde 3-phosphate	99983 Lipid metabolism	0.04221853654674441
394	Epinephrine	01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.04250422857979834
395	Beta-hydroxyvaleric Acid	00540 Lipopolysaccharide biosynthesis [PATH:ko00540]	0.04250422857979834
396	2,6-Dihydroxypyridine	02022 Two-component system [BR:ko02022]	0.04262857699457051
397	Guaiacol	99976 Replication and repair	0.04262857699457051
398	Tyramine	00633 Nitrotoluene degradation [PATH:ko00633]	0.04282613012393463
399	S-Adenosyl-L-methionine	99992 Structural proteins	0.04288913142151543
400	Octanoic acid	00908 Zeatin biosynthesis [PATH:ko00908]	0.04291401006653876
401	Arachidic acid;Stearic acid	00311 Penicillin and cephalosporin biosynthesis [PATH:ko00311]	0.042973734705063896
402	Diethyl 2-Methyl-3-Oxosuccinate	01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.043300551434829984
403	2-Acetamido-2-Deoxy-Beta-D-Glucosylamine	00071 Fatty acid degradation [PATH:ko00071]	0.043300551434829984
404	aminoadipate	04146 Peroxisome [PATH:ko04146]	0.043305173440592454
405	Lumichrome	00190 Oxidative phosphorylation [PATH:ko00190];03018 RNA degradation [PATH:ko03018]	0.043305173440592454
406	2-Methylcitrate	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.043305173440592454
407	3-Methoxytyrosine;Oxoadipate	03400 DNA repair and recombination proteins [BR:ko03400]	0.043305173440592454
408	Dihydrobiopterin	99999 Others	0.043305173440592454
409	D-Pinitol	99998 Others	0.043305173440592454
410	Glucuronolactone	02025 Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]	0.043330834403877284
411	3 Hydroxybenzyl Alcohol	00340 Histidine metabolism [PATH:ko00340]	0.043330834403877284
412	Diethanolamine	02010 ABC transporters [PATH:ko02010];03019 Messenger RNA biogenesis [BR:ko03019]	0.043330834403877284
413	Caffeate	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.043330834403877284
414	10-HAD;2,6-Dihydroxypyridine;cis-5-Dodecenoic acid;9-Decenoic acid;Undecanoic acid	99978 Cell growth	0.04334963776406704
415	Glucuronolactone	00680 Methane metabolism [PATH:ko00680]	0.04352372144967834
416	Heptanoic acid	04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.04372547317770834
417	Trigonelline	03036 Chromosome and associated proteins [BR:ko03036];99997 Function unknown	0.04372547317770834
418	NAD+	02022 Two-component system [BR:ko02022]	0.04373894345509506
419	N-Alpha-Acetyllysine	00531 Glycosaminoglycan degradation [PATH:ko00531]	0.043969157973636715
420	Docosahexaenoic acid	99983 Lipid metabolism	0.043969157973636715
421	Decanoic acid	00908 Zeatin biosynthesis [PATH:ko00908]	0.043969157973636715
422	Dodecanoic acid	03018 RNA degradation [PATH:ko03018]	0.04408276681646401
423	2-Aminoisobutyrate	99983 Lipid metabolism	0.04408276681646401
424	Carnitine	03036 Chromosome and associated proteins [BR:ko03036]	0.04408276681646401
425	Fructose-6-phosphate	99996 General function prediction only	0.04409345279463185
426	Cysteate	05132 Salmonella infection [PATH:ko05132];05133 Pertussis [PATH:ko05133]	0.04435174063099282
427	Hypoxanthine	99999 Others	0.044364625458754144
428	13Z,16Z-docosadienoic acid	00500 Starch and sucrose metabolism [PATH:ko00500]	0.04438830104753912
429	Myristoleic acid;Dodecanoic acid;Myristic acid	00471 D-Glutamine and D-glutamate metabolism [PATH:ko00471];03420 Nucleotide excision repair [PATH:ko03420]	0.04461520971505366
430	NAD+	00540 Lipopolysaccharide biosynthesis [PATH:ko00540]	0.044853973722760884
431	S-Adenosyl-L-methionine	99996 General function prediction only	0.044853973722760884
432	Xanthine	00471 D-Glutamine and D-glutamate metabolism [PATH:ko00471];03420 Nucleotide excision repair [PATH:ko03420]	0.0448649517497959
433	N-Acetylputrescine	03032 DNA replication proteins [BR:ko03032]	0.045065276555106205
434	Pipecolate	03021 Transcription machinery [BR:ko03021]	0.04528589851288198
435	Tridecanoic acid	00600 Sphingolipid metabolism [PATH:ko00600];00908 Zeatin biosynthesis [PATH:ko00908]	0.04535083459640573
436	D-Pinitol	03021 Transcription machinery [BR:ko03021]	0.04535083459640573
437	Cinnamate	00531 Glycosaminoglycan degradation [PATH:ko00531]	0.04544443688958602
438	Tyramine	00965 Betalain biosynthesis [PATH:ko00965]	0.04547789663462871
439	N-Alpha-Acetyllysine	00121 Secondary bile acid biosynthesis [PATH:ko00121]	0.04550959477487568
440	Fructose-6-phosphate	99994 Others	0.04554992932731618
441	Maleate	00561 Glycerolipid metabolism [PATH:ko00561]	0.04554992932731618
442	Aspartate	00310 Lysine degradation [PATH:ko00310]	0.04582300169615941
443	Indoxyl-Glucoside;Lumichrome	03420 Nucleotide excision repair [PATH:ko03420]	0.0458274961534621
444	Methyl 4-Aminobutyrate	04138 Autophagy - yeast [PATH:ko04138]	0.04590324805707169
445	Suberate	00600 Sphingolipid metabolism [PATH:ko00600];00908 Zeatin biosynthesis [PATH:ko00908]	0.045952749107925475
446	trans,trans-Muconic acid	00908 Zeatin biosynthesis [PATH:ko00908]	0.045952749107925475
447	Fructose-6-phosphate;Galactose 1-Phosphate;Glucose 6-Phosphate	01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]	0.04600480107041908
448	Glutarate	00590 Arachidonic acid metabolism [PATH:ko00590]	0.04602812376391208
449	Ribose phosphate	99996 General function prediction only	0.04602812376391208
450	Pyridoxine	00540 Lipopolysaccharide biosynthesis [PATH:ko00540]	0.04602812376391208
451	trans-3-Hexenoic acid	00561 Glycerolipid metabolism [PATH:ko00561]	0.04602812376391208
452	2-Aminoisobutyrate	03060 Protein export [PATH:ko03060]	0.04602812376391208
453	Sedoheptulose-7-phosphate	03036 Chromosome and associated proteins [BR:ko03036];99997 Function unknown	0.04613740025182329
454	N-Methylglutamate	00310 Lysine degradation [PATH:ko00310];00572 Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]	0.046471690440276575
455	3-(2-Hydroxyphenyl)Propanoate	02022 Two-component system [BR:ko02022]	0.046471690440276575
456	2-Methylcitrate	02010 ABC transporters [PATH:ko02010];03019 Messenger RNA biogenesis [BR:ko03019]	0.04675932839327882
457	Arachidonic acid	00053 Ascorbate and aldarate metabolism [PATH:ko00053]	0.046917460862613405
458	Nicotinamide Mononucleotide	03036 Chromosome and associated proteins [BR:ko03036]	0.04698789447866868
459	Methyl 4-Aminobutyrate;Dimethylglycine;trans,trans-Muconic acid;Methylmalonate;P-Octopamine	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.04700322318694036
460	Caffeate;Cysteine	02060 Phosphotransferase system (PTS) [PATH:ko02060]	0.04700322318694036
461	AMP	00194 Photosynthesis proteins [BR:ko00194]	0.04709395921550641
462	Glutarate	99988 Secondary metabolism	0.04737563974706253
463	3-(2-Hydroxyphenyl)Propanoate	03021 Transcription machinery [BR:ko03021]	0.04737563974706253
464	TMP	00680 Methane metabolism [PATH:ko00680]	0.04740464359279553
465	Crotonic acid	03019 Messenger RNA biogenesis [BR:ko03019]	0.047421341243377255
466	Galactarate	99981 Carbohydrate metabolism	0.04754703699370421
467	2-Hydroxyhexadecanoic acid	00121 Secondary bile acid biosynthesis [PATH:ko00121]	0.04754703699370421
468	2-Aminoisobutyrate	00121 Secondary bile acid biosynthesis [PATH:ko00121]	0.04755203973236366
469	S-Adenosyl-L-methionine	00471 D-Glutamine and D-glutamate metabolism [PATH:ko00471];03420 Nucleotide excision repair [PATH:ko03420]	0.04755203973236366
470	3-(2-Hydroxyphenyl)Propanoate	99999 Others;00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130];99992 Structural proteins	0.047622043590464264
471	Valine	04122 Sulfur relay system [PATH:ko04122]	0.04786672043187275
472	2-Hydroxy-4-(Methylthio)Butyric Acid	00531 Glycosaminoglycan degradation [PATH:ko00531]	0.04793766267385768
473	Cytidine	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.04794529770822309
474	Epinephrine	00561 Glycerolipid metabolism [PATH:ko00561]	0.04798714468679727
475	Deoxyuridine	00680 Methane metabolism [PATH:ko00680]	0.04819194364390455
476	2,4-Dihydroxypteridine;Crotonic acid;Monoethylmalonate	00680 Methane metabolism [PATH:ko00680]	0.048269586385940866
477	trans-3-Hexenoic acid	00540 Lipopolysaccharide biosynthesis [PATH:ko00540]	0.048269586385940866
478	Guanine;Hypoxanthine	00600 Sphingolipid metabolism [PATH:ko00600]	0.048269586385940866
479	2-Aminoisobutyrate;N-Acetylalanine	04146 Peroxisome [PATH:ko04146]	0.04839796221825621
480	cis-10-Nonadecenoic acid	04122 Sulfur relay system [PATH:ko04122]	0.0483992110879892
481	Fructose-6-phosphate	99998 Others	0.04840418516186496
482	Lithocholate	00440 Phosphonate and phosphinate metabolism [PATH:ko00440];04122 Sulfur relay system [PATH:ko04122]	0.04854237911885396
483	3-Methyl-2-Oxovalerate	04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.04854237911885396
484	Protoporphyrin	01008 Polyketide biosynthesis proteins [BR:ko01008]	0.04860854472201416
485	Epinephrine	00785 Lipoic acid metabolism [PATH:ko00785]	0.04860854472201416
486	UMP	03036 Chromosome and associated proteins [BR:ko03036]	0.04863728109432935
487	Tyramine	99983 Lipid metabolism	0.04876095893559166
488	2 Deoxy D Glucose	03021 Transcription machinery [BR:ko03021]	0.04892348711982141
489	3-(2-Hydroxyphenyl)Propanoate	00270 Cysteine and methionine metabolism [PATH:ko00270]	0.04926418590345372
490	2-Aminoisobutyrate	04122 Sulfur relay system [PATH:ko04122]	0.04938102155576438
491	Dihydrobiopterin	00121 Secondary bile acid biosynthesis [PATH:ko00121];04146 Peroxisome [PATH:ko04146]	0.049661542229771906
492	3,4-Dihydroxybenzoate	02010 ABC transporters [PATH:ko02010];03019 Messenger RNA biogenesis [BR:ko03019]	0.04982267313103078
493	Myo-Inositol;Xanthine	99976 Replication and repair	0.04995826358902111
494	Picolinate	00680 Methane metabolism [PATH:ko00680]	0.05004740335097999
495	Lumichrome	00471 D-Glutamine and D-glutamate metabolism [PATH:ko00471]	0.05005560944301828
496	Allothreonine	02060 Phosphotransferase system (PTS) [PATH:ko02060]	0.05005560944301828
497	3-(4-Hydroxyphenyl)Pyruvate;Tartrate	99977 Transport	0.05011427503367212
498	Uracil	03016 Transfer RNA biogenesis [BR:ko03016]	0.05011427503367212
499	Adenosine Diphosphate Ribose	99994 Others	0.050600706078418226
500	Maleimide	03019 Messenger RNA biogenesis [BR:ko03019]	0.050600706078418226
501	Maleamate	00785 Lipoic acid metabolism [PATH:ko00785]	0.05135411442513824
502	Mevalolactone	01004 Lipid biosynthesis proteins [BR:ko01004]	0.05162295567842328
503	Tyramine	00311 Penicillin and cephalosporin biosynthesis [PATH:ko00311]	0.051683860225887876
504	N-Acetylglutamate	03021 Transcription machinery [BR:ko03021]	0.051683860225887876
505	Shikimate	00471 D-Glutamine and D-glutamate metabolism [PATH:ko00471]	0.051683860225887876
506	Didecanoyl-Glycerophosphocholine	00340 Histidine metabolism [PATH:ko00340]	0.051683860225887876
507	N-Acetylglycine;3-(4-Hydroxyphenyl)Pyruvate;Tartrate	99992 Structural proteins	0.051683860225887876
508	Glycerol	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.051683860225887876
509	2-Methylmaleate;3-Dehydroshikimate	00540 Lipopolysaccharide biosynthesis [PATH:ko00540]	0.051683860225887876
510	Decanoic acid	99992 Structural proteins	0.051683860225887876
511	Cytidine	02026 Biofilm formation - Escherichia coli [PATH:ko02026];01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011];99988 Secondary metabolism	0.051683860225887876
512	Butyric acid	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.051683860225887876
513	Mevalolactone	01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]	0.05201269994097388
514	Carnitine	02026 Biofilm formation - Escherichia coli [PATH:ko02026]	0.05201269994097388
515	Lithocholate	00121 Secondary bile acid biosynthesis [PATH:ko00121]	0.05232194204869269
516	Cystathionine	02010 ABC transporters [PATH:ko02010]	0.05242415389533215
517	Galactarate	99978 Cell growth	0.0524669739724994
518	S-Adenosyl-L-methionine	00121 Secondary bile acid biosynthesis [PATH:ko00121]	0.05248943113417211
519	Linoleic acid;Oleic acid	00600 Sphingolipid metabolism [PATH:ko00600];00908 Zeatin biosynthesis [PATH:ko00908]	0.05252223895671233
520	trans,trans-Muconic acid	00680 Methane metabolism [PATH:ko00680]	0.05252223895671233
521	Omega-Hydroxydodecanoate	02060 Phosphotransferase system (PTS) [PATH:ko02060]	0.05261248252964359
522	Crotonic acid	03016 Transfer RNA biogenesis [BR:ko03016];00190 Oxidative phosphorylation [PATH:ko00190];03018 RNA degradation [PATH:ko03018]	0.05272984183220577
523	3-Hydroxyoctanoic acid	00540 Lipopolysaccharide biosynthesis [PATH:ko00540]	0.05272984183220577
524	AMP	00710 Carbon fixation in photosynthetic organisms [PATH:ko00710]	0.05283111913969911
525	Docosahexaenoic acid	01053 Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053]	0.05294458489539548
526	6-Carboxyhexanoate	03016 Transfer RNA biogenesis [BR:ko03016];00190 Oxidative phosphorylation [PATH:ko00190];03018 RNA degradation [PATH:ko03018]	0.053013407119387373
527	2,4-Dihydroxypteridine;Crotonic acid;Monoethylmalonate	00785 Lipoic acid metabolism [PATH:ko00785]	0.053013407119387373
528	2-Methylcitrate;Salicylamide;Salicylate	00340 Histidine metabolism [PATH:ko00340]	0.053039545680795476
529	2-Aminophenol	00561 Glycerolipid metabolism [PATH:ko00561]	0.05367890055929953
530	2-Methylcitrate	00680 Methane metabolism [PATH:ko00680]	0.054286216623151376
531	Buthionine-sulfoximine	04138 Autophagy - yeast [PATH:ko04138]	0.05455313857717282
532	3-(2-Hydroxyphenyl)Propanoate	03110 Chaperones and folding catalysts [BR:ko03110];99996 General function prediction only	0.05455313857717282
533	Urocanate	03032 DNA replication proteins [BR:ko03032];99976 Replication and repair	0.05455313857717282
534	Diaminopimelate	00785 Lipoic acid metabolism [PATH:ko00785]	0.05455313857717282
535	Diaminopimelate	04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.05455313857717282
536	Dihydrobiopterin	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.05467322422325022
537	Indole-3-Pyruvate;Galactarate;Threitol	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.054767484524384895
538	Nonanoic acid	00540 Lipopolysaccharide biosynthesis [PATH:ko00540]	0.054898686864804765
539	Beta-hydroxyvaleric Acid	01501 beta-Lactam resistance [PATH:ko01501];04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	0.05490035806229096
540	SAICAr	03036 Chromosome and associated proteins [BR:ko03036];99997 Function unknown	0.054971720177380334
541	4-Hydroxybenzoate	00965 Betalain biosynthesis [PATH:ko00965];00194 Photosynthesis proteins [BR:ko00194];00364 Fluorobenzoate degradation [PATH:ko00364];00633 Nitrotoluene degradation [PATH:ko00633];01053 Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053];05132 Salmonella infection [PATH:ko05132];05133 Pertussis [PATH:ko05133]	0.054991750000499905
542	6-Carboxyhexanoate	03400 DNA repair and recombination proteins [BR:ko03400]	0.05505251867147402
543	Carnosine	04621 NOD-like receptor signaling pathway [PATH:ko04621]	0.05537272294761971
544	acetyl-carnitine	05100 Bacterial invasion of epithelial cells [PATH:ko05100]	0.05537272294761971
545	Methylmalonate	00908 Zeatin biosynthesis [PATH:ko00908]	0.05537272294761971
546	Methyl Vanillate;Oxalate	99992 Structural proteins	0.05537272294761971
547	3,4-Dihydroxybenzoate	00190 Oxidative phosphorylation [PATH:ko00190]	0.0557622760788367
548	Cinnamate	00053 Ascorbate and aldarate metabolism [PATH:ko00053]	0.055839117369732315
549	Sn-Glycero-3-Phosphocholine	01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]	0.055928872586609196
550	Cytidine	99976 Replication and repair	0.055928872586609196
551	methyl-lysine	99981 Carbohydrate metabolism	0.0559934075485891
552	AMP	00600 Sphingolipid metabolism [PATH:ko00600]	0.05626555806651163
553	3-Hydroxyoctanoic acid	03036 Chromosome and associated proteins [BR:ko03036]	0.05647999926561652
554	Malonate	04138 Autophagy - yeast [PATH:ko04138]	0.05671794828314533
555	Aspartate	05132 Salmonella infection [PATH:ko05132];05133 Pertussis [PATH:ko05133]	0.05671794828314533
556	Uracil	02025 Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]	0.05671794828314533
557	Hypoxanthine	99992 Structural proteins	0.05679700926845525
558	2-Hydroxypyridine;Picolinate	03400 DNA repair and recombination proteins [BR:ko03400]	0.0568323145055792
559	Acetylcysteine	02060 Phosphotransferase system (PTS) [PATH:ko02060]	0.05696495091974762
560	2,3-Dihydroxybenzoate	03032 DNA replication proteins [BR:ko03032]	0.05702555736085276
561	N-Methylaspartate	02060 Phosphotransferase system (PTS) [PATH:ko02060]	0.05726214734004417
562	Glucosamine-6-Phosphate	99983 Lipid metabolism	0.05734710201980844
563	Threonine	00471 D-Glutamine and D-glutamate metabolism [PATH:ko00471]	0.05734710201980844
564	all-cis-4,7,10,13,16-Docosapentaenoic acid	00572 Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]	0.05736457678892863
565	Carnosine	99978 Cell growth	0.05736457678892863
566	Cytosine	03420 Nucleotide excision repair [PATH:ko03420]	0.05736457678892863
567	Cytosine	99999 Others;00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130];99992 Structural proteins	0.05736457678892863
568	Buthionine-sulfoximine;N-Acetylserotonin	00471 D-Glutamine and D-glutamate metabolism [PATH:ko00471]	0.05740598547817125
569	Suberate	00510 N-Glycan biosynthesis [PATH:ko00510]	0.05740598547817125
570	Guaiacol	05120 Epithelial cell signaling in Helicobacter pylori infection [PATH:ko05120]	0.05740598547817125
571	Cytidine	99979 Unclassified viral proteins	0.05740598547817125
572	3-Amino-4-Hydroxybenzoate	03400 DNA repair and recombination proteins [BR:ko03400]	0.057414441608945176
573	Methyl Vanillate;Oxalate	03420 Nucleotide excision repair [PATH:ko03420]	0.057686478740985155
574	Suberate	00785 Lipoic acid metabolism [PATH:ko00785];04013 MAPK signaling pathway - fly [PATH:ko04013]	0.057746947752281404
575	N-Methylaspartate	00680 Methane metabolism [PATH:ko00680]	0.057746947752281404
576	Uridine	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.057746947752281404
577	2-Hydroxypyridine;Picolinate	02060 Phosphotransferase system (PTS) [PATH:ko02060]	0.05778284102512263
578	3-(4-Hydroxyphenyl)Pyruvate	03420 Nucleotide excision repair [PATH:ko03420]	0.05778747011896831
579	Uracil	00310 Lysine degradation [PATH:ko00310]	0.05780424991706879
580	Benzyl Alcohol	03018 RNA degradation [PATH:ko03018]	0.05783032653973122
581	2-Methylcitrate	03400 DNA repair and recombination proteins [BR:ko03400]	0.05783032653973122
582	Methionine Sulfoximine	03440 Homologous recombination [PATH:ko03440]	0.05804016114623971
583	Lumichrome	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.0584624195713459
584	Trigonelline	02010 ABC transporters [PATH:ko02010]	0.05861192640887106
585	Methyl 4-Aminobutyrate	03018 RNA degradation [PATH:ko03018]	0.05862317000914862
586	4-Hydroxybenzoate	01008 Polyketide biosynthesis proteins [BR:ko01008]	0.058677378653306
587	CMP	00710 Carbon fixation in photosynthetic organisms [PATH:ko00710]	0.05926385556254437
588	Thiopurine S-Methylether	02010 ABC transporters [PATH:ko02010];03019 Messenger RNA biogenesis [BR:ko03019]	0.05926385556254437
589	2-Aminoisobutyrate	99999 Others;00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130];99992 Structural proteins	0.05926385556254437
590	2-Phosphoglycerate	99988 Secondary metabolism	0.05942635411531992
591	Acetylcysteine	04013 MAPK signaling pathway - fly [PATH:ko04013]	0.05942635411531992
592	cis-5-Dodecenoic acid	00500 Starch and sucrose metabolism [PATH:ko00500]	0.05942635411531992
593	Cytosine	00440 Phosphonate and phosphinate metabolism [PATH:ko00440]	0.05954657054610111
594	Guaiacol	03036 Chromosome and associated proteins [BR:ko03036]	0.059612354600087014
595	Nicotinamide Mononucleotide	00071 Fatty acid degradation [PATH:ko00071]	0.05974951765509989
596	Glutarylcarnitine	00362 Benzoate degradation [PATH:ko00362]	0.05977661146308504
597	Adenosine	00121 Secondary bile acid biosynthesis [PATH:ko00121]	0.0599176485710868
598	cis-7,10,13,16-Docosatetraenoic acid	00310 Lysine degradation [PATH:ko00310]	0.0599176485710868
599	Methyglutarate	99974 Translation	0.0599176485710868
600	2-Hydroxypyridine;Picolinate	00190 Oxidative phosphorylation [PATH:ko00190]	0.0599176485710868
601	Biotin	03420 Nucleotide excision repair [PATH:ko03420]	0.05994392335022286
602	Biotin	99992 Structural proteins	0.05994392335022286
603	Methylthioadenosine	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.06000633799756814
604	Monoethylmalonate	03018 RNA degradation [PATH:ko03018]	0.06000633799756814
605	Picolinate	03019 Messenger RNA biogenesis [BR:ko03019]	0.06000633799756814
606	Urate	04138 Autophagy - yeast [PATH:ko04138]	0.06038072635966392
607	Methionine Sulfoximine	00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]	0.06042445734599808
608	Thymidine	00310 Lysine degradation [PATH:ko00310]	0.06042445734599808
609	Succinyladenosine	03440 Homologous recombination [PATH:ko03440]	0.06062949141504628
610	trans-3-Hexenoic acid	03400 DNA repair and recombination proteins [BR:ko03400]	0.06062949141504628
611	Cytidine	00710 Carbon fixation in photosynthetic organisms [PATH:ko00710]	0.06062949141504628
612	Homocysteine	00908 Zeatin biosynthesis [PATH:ko00908]	0.06133196918754194
613	13Z,16Z-docosadienoic acid	00121 Secondary bile acid biosynthesis [PATH:ko00121]	0.061379731194541466
614	3-Amino-4-Hydroxybenzoate;3-Amino-5-Hydroxybenzoate	00908 Zeatin biosynthesis [PATH:ko00908]	0.061379731194541466
615	Deoxyguanosine monophosphate	00194 Photosynthesis proteins [BR:ko00194]	0.06164008826454162
616	Succinic Acid	00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]	0.06164008826454162
617	NAD+	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.06168440615623216
618	N-Methylglutamate	04621 NOD-like receptor signaling pathway [PATH:ko04621]	0.06168440615623216
619	Arachidonic acid	01053 Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053]	0.06168440615623216
620	trans,trans-Muconic acid	99997 Function unknown	0.06168440615623216
621	Maleimide	00561 Glycerolipid metabolism [PATH:ko00561]	0.06168440615623216
622	Galactosamine	00471 D-Glutamine and D-glutamate metabolism [PATH:ko00471]	0.06168440615623216
623	Mandelate	99988 Secondary metabolism	0.06168440615623216
624	Glucuronolactone	00510 N-Glycan biosynthesis [PATH:ko00510];04080 Neuroactive ligand-receptor interaction [PATH:ko04080]	0.06170443013785829
625	Guaiacol	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.06170443013785829
626	Glucosamine-6-Phosphate	00710 Carbon fixation in photosynthetic organisms [PATH:ko00710]	0.061925480583481955
627	Carnitine	99994 Others	0.06195011358112301
628	Arachidonic acid	00572 Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]	0.06222688613822326
